Features,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Mode,Mean,Std
DuPont_Ratio,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,2,1,3,1,1,1,2,1,2,1,1.36,0.6377042156569663
P_to_B,2,2,7,2,1,2,2,3,2,6,2,9,3,3,1,1,1,8,1,2,2,2,1,6,3,2,2.96,2.3180451534284945
Operating_cash_flow_to_sales,6,15,5,7,14,28,28,2,11,9,13,2,23,30,31,15,4,35,2,6,5,12,9,26,1,2,13.56,10.614769584561566
Net_profit_to_Gross_profit,5,3,2,3,4,5,4,5,5,3,3,3,2,8,3,7,3,2,9,5,4,4,3,8,4,3,4.28,1.9261360284258224
Operating_profit_to_sale,4,7,4,8,5,9,6,7,6,2,6,6,5,9,6,4,11,4,7,7,6,8,4,4,8,4,6.12,2.0477630071210227
Current_ratio,8,8,12,4,11,4,9,8,4,10,5,13,15,7,15,6,13,9,6,9,11,10,7,10,5,4,8.76,3.2822756333576457
Net_profit_to_sale,3,5,3,5,3,3,5,4,3,5,9,5,4,5,5,2,5,3,5,4,3,3,5,2,9,5,4.32,1.7492855684535902
Capital,7,9,6,9,6,10,3,6,7,4,4,8,6,4,7,10,6,5,8,3,7,7,8,7,6,6,6.52,1.9604421270043484
Quick_Ratio,10,11,13,6,9,6,12,10,10,16,22,15,8,2,4,18,17,18,4,12,13,6,11,16,7,6,11.04,5.070174224488412
Net_working_capital,9,12,8,11,7,12,8,9,8,7,11,11,7,11,9,8,7,7,12,10,8,9,6,9,10,7,9.04,1.8138357147217052
Stock_market_value,15,13,11,10,10,11,7,11,12,8,10,12,10,12,10,11,8,6,10,11,9,13,10,11,11,10,10.48,1.9390719429665317
Debt_to_equity_ratio,14,6,10,17,13,8,14,16,14,15,8,7,12,6,12,16,12,11,13,14,15,11,12,5,13,12,11.76,3.3946035605550957
Cost_to_sales_ratio,16,22,18,13,17,22,19,17,15,14,12,16,9,21,19,9,10,12,14,17,16,14,21,13,12,12,15.52,3.8418745424597094
Equity_Ratio,13,4,9,15,12,7,13,14,13,13,7,4,11,16,11,13,9,13,11,13,14,5,13,3,15,13,10.84,3.7934153476781316
Sale_to_current_assets,21,30,16,18,8,26,11,28,9,26,25,23,25,15,17,14,38,20,22,27,21,15,22,14,29,14,20.8,7.187952884282608
Gross_profit_margin,19,38,26,23,19,39,36,15,27,12,15,20,18,28,39,5,14,34,25,24,20,20,15,23,33,15,23.48,9.078913297673168
ROE,23,32,15,20,24,23,10,12,25,20,16,25,24,23,14,23,16,45,21,19,24,35,16,18,16,16,21.56,7.533702055873106
ROA,30,16,34,22,25,20,23,23,16,40,33,24,13,24,30,39,30,16,33,23,28,17,36,20,36,16,26.04,7.780745465570765
Longterm_debt_to_equity_ratio,11,17,20,12,22,21,17,18,23,11,17,14,22,10,22,30,23,25,17,8,10,18,19,17,21,17,17.8,5.385164807134504
Fixed_asset_turnover,22,10,23,26,15,19,27,29,22,17,32,10,14,17,16,12,31,24,32,18,40,34,17,15,17,17,21.56,8.036790404135223
Current_assets_ratio,17,28,24,28,18,15,30,36,33,19,14,18,17,18,37,17,18,17,20,34,25,37,23,21,19,17,23.32,7.409003531739834
Liquidity_ratios,18,20,14,16,16,13,18,13,26,18,18,17,27,14,8,20,20,15,15,16,12,19,14,12,23,18,16.88,4.342810150121693
Profit_margin_growth_rate,32,19,17,19,20,14,15,25,39,21,23,28,19,13,20,24,15,10,37,29,19,21,20,25,18,19,21.68,7.06352131258435
Net_profit_margin,20,14,19,21,35,18,22,19,31,36,26,21,16,33,26,37,21,14,19,22,17,29,31,19,27,19,23.72,6.931329838734651
Sales_growth_rate,29,25,33,27,21,17,21,34,19,27,24,19,30,22,33,22,36,19,24,20,35,26,37,22,28,19,26.0,6.006940430313366
P_to_S,36,26,32,34,34,38,33,26,24,29,19,39,28,36,28,34,32,38,26,33,22,33,26,29,22,26,30.28,5.481179921634879
Current_debt_to_total_debt_Ratio,24,24,42,42,29,27,26,22,37,37,37,26,43,44,34,26,44,33,29,30,26,27,29,42,34,26,32.56,7.182617907142214
Net_return_on_working_capital,35,33,25,29,27,24,29,31,21,28,30,33,26,39,25,32,34,29,27,28,29,25,30,35,38,29,29.68,4.422668877499196
Total_asset_turnover,27,34,36,35,28,30,35,32,29,34,35,30,37,34,44,36,40,28,39,26,32,41,32,36,30,30,33.6,4.564354645876384
Profit_margin_before_interest_and_taxes,42,21,38,36,40,32,37,30,30,43,34,44,20,32,36,33,27,21,38,35,41,31,38,30,44,30,34.12,6.906036007242746
Return_from_market,25,31,27,31,23,29,25,21,28,22,29,37,33,27,13,19,19,40,16,31,27,23,18,37,31,31,26.48,6.764613810115105
P_to_E,26,23,28,25,31,31,31,43,20,25,20,34,39,35,41,25,28,27,30,42,31,24,27,44,32,31,30.48,6.94094133865621
DPS,28,37,22,32,32,25,24,24,17,31,27,29,31,20,32,28,25,39,18,15,30,32,28,27,26,32,27.16,5.835808998473705
Cash_to_total_assets_ratio,41,40,31,41,37,41,38,42,42,30,40,32,32,26,29,44,45,44,28,32,45,22,33,40,43,32,36.72,6.623946457110494
EPS,45,29,21,30,33,33,20,33,43,33,21,31,35,19,18,43,24,42,23,21,33,39,34,24,24,33,30.04,8.268816924647282
Cash_flow_returns_to_sales,12,36,29,24,42,35,16,27,36,23,28,22,36,31,24,27,37,23,31,25,18,42,25,33,35,36,28.68,7.728302961625318
Average_payment_period,37,27,37,14,36,37,39,37,44,35,36,27,38,29,42,38,39,37,35,41,36,36,39,39,14,37,34.76,7.406528651579406
Return_ratio_without_risk,44,18,44,33,26,16,43,38,34,32,31,38,40,25,45,40,29,41,45,45,42,38,35,34,42,38,35.92,8.200203249513596
Operating_assets_Ratio,40,41,41,43,39,42,44,41,45,39,42,45,44,38,27,29,26,36,44,40,37,28,40,41,40,40,38.88,5.585099223230805
ROI,39,42,40,40,41,36,32,44,32,45,44,40,21,41,38,42,42,22,42,39,39,16,43,31,37,42,37.12,7.579138033664075
Debt_to_total_assets_ratio,43,44,45,45,38,34,42,39,41,38,41,43,29,40,35,35,22,43,40,43,43,45,41,32,20,43,38.44,6.727307534717487
Total_income_growth,34,35,43,39,43,45,41,45,38,44,45,42,41,45,43,31,41,26,43,36,38,44,42,28,39,43,39.64,5.337602458033007
EPS_growth,38,43,39,38,45,43,34,40,40,42,43,35,42,43,23,41,43,30,41,38,44,43,45,43,41,43,39.88,5.01098792654702
Working_capital_return,31,39,30,44,44,44,40,35,18,41,38,36,45,42,21,45,33,32,36,44,23,30,44,38,25,44,35.92,8.004790232521191
Operating_profit_margin,33,45,35,37,30,40,45,20,35,24,39,41,34,37,40,21,35,31,34,37,34,40,24,45,45,45,35.24,7.212720245048558
